CBOP,Suburb,Population
England,Abbotsbury,40.0
England,Abbotsford (NSW),181.0
England,Acacia Gardens,63.0
England,Agnes Banks,23.0
England,Airds,46.0
England,Alexandria,438.0
England,Alfords Point,72.0
England,Alison (Central Coast - NSW),0.0
England,Allambie Heights,533.0
England,Allawah,43.0
England,Ambarvale,165.0
England,Annandale (NSW),487.0
England,Annangrove,50.0
England,Appin (NSW),107.0
England,Arcadia (NSW),78.0
England,Arncliffe,158.0
England,Arndell Park,0.0
England,Artarmon,314.0
England,Ashbury,65.0
England,Ashcroft,31.0
England,Ashfield (NSW),460.0
England,Asquith,144.0
England,Auburn (NSW),95.0
England,Austral,27.0
England,Avalon Beach,945.0
England,Avoca Beach,413.0
England,Badgerys Creek,4.0
England,Balgowlah,760.0
England,Balgowlah Heights,357.0
England,Balmain,945.0
England,Balmain East,166.0
England,Bangor (NSW),208.0
England,Banksia,53.0
England,Banksmeadow,0.0
England,Bankstown,102.0
England,Bar Point,0.0
England,Barangaroo,4.0
England,Barden Ridge,120.0
England,Bardia,16.0
England,Bardwell Park,34.0
England,Bardwell Valley,54.0
England,Bargo,197.0
England,Bass Hill,74.0
England,Bateau Bay,520.0
England,Baulkham Hills,1003.0
England,Bayview (NSW),403.0
England,Beacon Hill,453.0
England,Beaconsfield (NSW),38.0
England,Beaumont Hills,293.0
England,Beecroft,291.0
England,Belfield,56.0
England,Belimbla Park,23.0
England,Bell (NSW),4.0
England,Bella Vista,182.0
England,Bellevue Hill,622.0
England,Belmore,89.0
England,Belrose,649.0
England,Bensville,152.0
England,Berala,35.0
England,Berambing,4.0
England,Berkeley Vale,315.0
England,Berkshire Park,23.0
England,Berowra,336.0
England,Berowra Creek,0.0
England,Berowra Heights,369.0
England,Berowra Waters,9.0
England,Berrilee,13.0
England,Beverley Park,42.0
England,Beverly Hills,74.0
England,Bexley,208.0
England,Bexley North,55.0
England,Bidwill (NSW),56.0
England,Bilgola Beach,24.0
England,Bilgola Plateau,392.0
England,Bilpin,26.0
England,Birchgrove,337.0
England,Birrong,25.0
England,Blackett,67.0
England,Blackheath,281.0
England,Blacktown,592.0
England,Blackwall (NSW),69.0
England,Blair Athol (NSW),37.0
England,Blairmount,7.0
England,Blakehurst,94.0
England,Blaxland (NSW),369.0
England,Blaxlands Ridge,14.0
England,Bligh Park,191.0
England,Blue Bay,40.0
England,Blue Haven,202.0
England,Bondi,805.0
England,Bondi Beach,1014.0
England,Bondi Junction,633.0
England,Bonnet Bay,125.0
England,Bonnyrigg,44.0
England,Bonnyrigg Heights,17.0
England,Booker Bay,58.0
England,Bossley Park,108.0
England,Botany,363.0
England,Bouddi,0.0
England,Bow Bowing,26.0
England,Bowen Mountain,78.0
England,Box Hill (NSW),15.0
England,Bradbury (NSW),318.0
England,Breakfast Point,165.0
England,Brighton-le-Sands,124.0
England,Bringelly,34.0
England,Bronte,534.0
England,Brooklyn (NSW),46.0
England,Brookvale,171.0
England,Brownlow Hill,19.0
England,Budgewoi,107.0
England,Buff Point,144.0
England,Bullaburra,62.0
England,Bundeena,131.0
England,Bungarribee,10.0
England,Burraneer,112.0
England,Burwood (NSW),115.0
England,Burwood Heights,23.0
England,Busby,28.0
England,Bushells Ridge,0.0
England,Buxton (NSW),70.0
England,Cabarita (NSW),60.0
England,Cabramatta,63.0
England,Cabramatta West,30.0
England,Caddens,37.0
England,Calga,7.0
England,Cambridge Gardens,76.0
England,Cambridge Park,245.0
England,Camden,146.0
England,Camden Park (NSW),84.0
England,Camden South,230.0
England,Cammeray,464.0
England,Campbelltown (NSW),426.0
England,Camperdown (NSW),476.0
England,Campsie,107.0
England,Canada Bay,42.0
England,Canley Heights,54.0
England,Canley Vale,42.0
England,Canoelands,9.0
England,Canterbury (NSW),107.0
England,Canton Beach,52.0
England,Caringbah,436.0
England,Caringbah South,486.0
England,Carlingford,373.0
England,Carlton (NSW),114.0
England,Carnes Hill,15.0
England,Carramar (NSW),20.0
England,Carss Park,34.0
England,Cartwright,25.0
England,Castle Cove,118.0
England,Castle Hill (NSW),1503.0
England,Castlecrag,178.0
England,Castlereagh,40.0
England,Casula,141.0
England,Catherine Field,26.0
England,Cattai,29.0
England,Cawdor (NSW),7.0
England,Cecil Hills,36.0
England,Cecil Park,0.0
England,Cedar Brush Creek,4.0
England,Centennial Park (NSW),141.0
England,Central Colo,4.0
England,Central Macdonald,0.0
England,Central Mangrove,5.0
England,Chain Valley Bay,151.0
England,Charmhaven,79.0
England,Chatswood,534.0
England,Chatswood West,68.0
England,Cheero Point,9.0
England,Cheltenham (NSW),72.0
England,Cherrybrook,750.0
England,Chester Hill,108.0
England,Chifley (NSW),95.0
England,Chippendale,198.0
England,Chipping Norton,124.0
England,Chiswick,117.0
England,Chittaway Bay,92.0
England,Chittaway Point,43.0
England,Church Point,117.0
England,Claremont Meadows,119.0
England,Clarendon (NSW),8.0
England,Clareville,81.0
England,Claymore,23.0
England,Clemton Park,16.0
England,Clontarf (NSW),203.0
England,Clovelly,383.0
England,Clyde (NSW),0.0
England,Coasters Retreat,0.0
England,Cobbitty,101.0
England,Cogra Bay,0.0
England,Colebee,22.0
England,Collaroy (NSW),485.0
England,Collaroy Plateau,311.0
England,Colo (Hawkesbury - NSW),0.0
England,Colo Heights,16.0
England,Colyton,167.0
England,Como (NSW),190.0
England,Concord,286.0
England,Concord West,95.0
England,Condell Park,57.0
England,Connells Point,47.0
England,Constitution Hill,56.0
England,Coogee (NSW),1245.0
England,Copacabana,160.0
England,Cornwallis,0.0
England,Cottage Point,10.0
England,Couridjah,11.0
England,Cowan,21.0
England,Cranebrook,539.0
England,Cremorne (NSW),804.0
England,Cremorne Point,209.0
England,Cromer (NSW),511.0
