Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"AGEP Age by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"AGEP Age",
"0",58861,
"1",62741,
"2",62485,
"3",62967,
"4",63123,
"5",62440,
"6",62964,
"7",61196,
"8",61788,
"9",60848,
"10",58553,
"11",56561,
"12",55853,
"13",55698,
"14",54237,
"15",55603,
"16",56585,
"17",56084,
"18",58041,
"19",62039,
"20",64438,
"21",65778,
"22",66745,
"23",70652,
"24",73123,
"25",74950,
"26",77099,
"27",76622,
"28",76822,
"29",75964,
"30",78259,
"31",78075,
"32",79403,
"33",79696,
"34",77516,
"35",76344,
"36",72799,
"37",70311,
"38",68805,
"39",67206,
"40",67331,
"41",66633,
"42",68081,
"43",68559,
"44",69974,
"45",70873,
"46",65204,
"47",63726,
"48",62373,
"49",59590,
"50",60179,
"51",59785,
"52",62040,
"53",62519,
"54",61296,
"55",60313,
"56",57442,
"57",55023,
"58",55225,
"59",53556,
"60",51901,
"61",49898,
"62",48343,
"63",47376,
"64",44926,
"65",44277,
"66",43448,
"67",41319,
"68",41874,
"69",42607,
"70",36399,
"71",33746,
"72",32655,
"73",28523,
"74",27638,
"75",26245,
"76",25052,
"77",23547,
"78",22082,
"79",21129,
"80",19991,
"81",18100,
"82",16899,
"83",16000,
"84",15001,
"85",14453,
"86",13529,
"87",11929,
"88",10640,
"89",9377,
"90",8056,
"91",6785,
"92",5542,
"93",4576,
"94",3616,
"95",2672,
"96",1869,
"97",1117,
"98",789,
"99",546,
"100",231,
"101",126,
"102",80,
"103",45,
"104",26,
"105",18,
"106",3,
"107",0,
"108",0,
"109",0,
"110",0,
"111",0,
"112",0,
"113",0,
"114",0,
"115",0,
"Total",4823993,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
