Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"BPLP - 4 Digit Level and SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"BPLP - 4 Digit Level","SSC (UR)",
"England","Aarons Pass",0,
,"Abbotsbury",40,
,"Abbotsford (NSW)",181,
,"Abercrombie",0,
,"Abercrombie River",0,
,"Aberdare",0,
,"Aberdeen (NSW)",0,
,"Aberfoyle",0,
,"Aberglasslyn",0,
,"Abermain",0,
,"Abernethy",0,
,"Abington (NSW)",0,
,"Acacia Creek",0,
,"Acacia Gardens",63,
,"Adaminaby",0,
,"Adamstown",0,
,"Adamstown Heights",0,
,"Adelong",0,
,"Adjungbilly",0,
,"Afterlee",0,
,"Agnes Banks",23,
,"Airds",46,
,"Akolele",0,
,"Albert",0,
,"Albion Park",0,
,"Albion Park Rail",0,
,"Albury",0,
,"Aldavilla",0,
,"Alectown",0,
,"Alexandria",438,
,"Alfords Point",72,
,"Alfredtown",0,
,"Alice",0,
,"Alison (Central Coast - NSW)",0,
,"Alison (Dungog - NSW)",0,
,"Allambie Heights",533,
,"Allandale (NSW)",0,
,"Allawah",43,
,"Alleena",0,
,"Allgomera",0,
,"Allworth",0,
,"Allynbrook",0,
,"Alma Park",0,
,"Alpine",0,
,"Alstonvale",0,
,"Alstonville",0,
,"Alumy Creek",0,
,"Amaroo (NSW)",0,
,"Ambarvale",165,
,"Amosfield",0,
,"Anabranch North",0,
,"Anabranch South",0,
,"Anambah",0,
,"Ando",0,
,"Anembo",0,
,"Angledale",0,
,"Angledool",0,
,"Anglers Reach",0,
,"Angourie",0,
,"Anna Bay",0,
,"Annandale (NSW)",487,
,"Annangrove",50,
,"Appin (NSW)",107,
,"Apple Tree Flat",0,
,"Appleby",0,
,"Appletree Flat",0,
,"Apsley (NSW)",0,
,"Arable",0,
,"Arakoon",0,
,"Araluen (NSW)",0,
,"Aratula (NSW)",0,
,"Arcadia (NSW)",78,
,"Arcadia Vale",0,
,"Ardglen",0,
,"Arding",0,
,"Ardlethan",0,
,"Argalong",0,
,"Argenton",0,
,"Argents Hill",0,
,"Argoon (NSW)",0,
,"Ariah Park",0,
,"Arkell",0,
,"Arkstone",0,
,"Armatree",0,
,"Armidale",0,
,"Arncliffe",158,
,"Arndell Park",0,
,"Arrawarra",0,
,"Arrawarra Headland",0,
,"Artarmon",314,
,"Arthurville",0,
,"Arumpo",0,
,"Ashbury",65,
,"Ashby (NSW)",0,
,"Ashby Heights",0,
,"Ashby Island",0,
,"Ashcroft",31,
,"Ashfield (NSW)",460,
,"Ashford (NSW)",0,
,"Ashley",0,
,"Ashmont",0,
,"Ashtonfield",0,
,"Asquith",144,
,"Atholwood",0,
,"Attunga",0,
,"Auburn (NSW)",95,
,"Auburn Vale",0,
,"Austinmer",0,
,"Austral",27,
,"Austral Eden",0,
,"Avalon Beach",945,
,"Avisford",0,
,"Avoca (NSW)",0,
,"Avoca Beach",413,
,"Avon (NSW)",0,
,"Avondale (NSW)",0,
,"Avonside",0,
,"Awaba",0,
,"Aylmerton",0,
,"Baan Baa",0,
,"Babinda (NSW)",0,
,"Babyl Creek",0,
,"Back Creek (Bland - NSW)",0,
,"Back Creek (Gwydir - NSW)",0,
,"Back Creek (Mid-Coast - NSW)",0,
,"Back Creek (Queanbeyan-Palerang Regional - NSW)",0,
,"Back Creek (Tenterfield - NSW)",0,
,"Back Creek (Tweed - NSW)",0,
,"Back Forest",0,
,"Backmede",0,
,"Backwater",0,
,"Badgerys Creek",4,
,"Badja",0,
,"Baerami",0,
,"Baerami Creek",0,
,"Bagnoo",0,
,"Bago",0,
,"Bagotville",0,
,"Bakers Creek (Mid-Coast - NSW)",0,
,"Bakers Creek (Nambucca - NSW)",0,
,"Bakers Creek (Uralla - NSW)",0,
,"Bakers Swamp",0,
,"Balaclava (NSW)",0,
,"Balala",0,
,"Balcolyn",0,
,"Bald Blair",0,
,"Bald Hills (NSW)",0,
,"Bald Nob",0,
,"Bald Ridge",0,
,"Baldersleigh",0,
,"Baldry",0,
,"Balfours Peak",0,
,"Balgowlah",760,
,"Balgowlah Heights",357,
,"Balgownie",0,
,"Balickera",0,
,"Balladoran",0,
,"Ballalaba",0,
,"Balldale",0,
,"Ballengarra",0,
,"Ballimore",0,
,"Ballina",0,
,"Ballyroe",0,
,"Balmain",945,
,"Balmain East",166,
,"Balmoral (Lake Macquarie - NSW)",0,
,"Balmoral (Wingecarribee - NSW)",0,
,"Balranald",0,
,"Bamarang",0,
,"Banda Banda",0,
,"Bandon Grove",0,
,"Bangadang",0,
