Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"SSC (UR)",
"Aarons Pass",0,
"Abbotsbury",4251,
"Abbotsford (NSW)",5377,
"Abercrombie",0,
"Abercrombie River",0,
"Aberdare",0,
"Aberdeen (NSW)",0,
"Aberfoyle",0,
"Aberglasslyn",0,
"Abermain",0,
"Abernethy",0,
"Abington (NSW)",0,
"Acacia Creek",0,
"Acacia Gardens",3799,
"Adaminaby",0,
"Adamstown",0,
"Adamstown Heights",0,
"Adelong",0,
"Adjungbilly",0,
"Afterlee",0,
"Agnes Banks",911,
"Airds",2927,
"Akolele",0,
"Albert",0,
"Albion Park",0,
"Albion Park Rail",0,
"Albury",0,
"Aldavilla",0,
"Alectown",0,
"Alexandria",8264,
"Alfords Point",3112,
"Alfredtown",0,
"Alice",0,
"Alison (Central Coast - NSW)",95,
"Alison (Dungog - NSW)",0,
"Allambie Heights",7006,
"Allandale (NSW)",0,
"Allawah",5710,
"Alleena",0,
"Allgomera",0,
"Allworth",0,
"Allynbrook",0,
"Alma Park",0,
"Alpine",0,
"Alstonvale",0,
"Alstonville",0,
"Alumy Creek",0,
"Amaroo (NSW)",0,
"Ambarvale",7378,
"Amosfield",0,
"Anabranch North",0,
"Anabranch South",0,
"Anambah",0,
"Ando",0,
"Anembo",0,
"Angledale",0,
"Angledool",0,
"Anglers Reach",0,
"Angourie",0,
"Anna Bay",0,
"Annandale (NSW)",9452,
"Annangrove",1399,
"Appin (NSW)",2633,
"Apple Tree Flat",0,
"Appleby",0,
"Appletree Flat",0,
"Apsley (NSW)",0,
"Arable",0,
"Arakoon",0,
"Araluen (NSW)",0,
"Aratula (NSW)",0,
"Arcadia (NSW)",1384,
"Arcadia Vale",0,
"Ardglen",0,
"Arding",0,
"Ardlethan",0,
"Argalong",0,
"Argenton",0,
"Argents Hill",0,
"Argoon (NSW)",0,
"Ariah Park",0,
"Arkell",0,
"Arkstone",0,
"Armatree",0,
"Armidale",0,
"Arncliffe",10590,
"Arndell Park",32,
"Arrawarra",0,
"Arrawarra Headland",0,
"Artarmon",9525,
"Arthurville",0,
"Arumpo",0,
"Ashbury",3326,
"Ashby (NSW)",0,
"Ashby Heights",0,
"Ashby Island",0,
"Ashcroft",3581,
"Ashfield (NSW)",23839,
"Ashford (NSW)",0,
"Ashley",0,
"Ashmont",0,
"Ashtonfield",0,
"Asquith",3378,
"Atholwood",0,
"Attunga",0,
"Auburn (NSW)",37370,
"Auburn Vale",0,
"Austinmer",0,
"Austral",3022,
"Austral Eden",0,
"Avalon Beach",9908,
"Avisford",0,
"Avoca (NSW)",0,
"Avoca Beach",4585,
"Avon (NSW)",0,
"Avondale (NSW)",0,
"Avonside",0,
"Awaba",0,
"Aylmerton",0,
"Baan Baa",0,
"Babinda (NSW)",0,
"Babyl Creek",0,
"Back Creek (Bland - NSW)",0,
"Back Creek (Gwydir - NSW)",0,
"Back Creek (Mid-Coast - NSW)",0,
"Back Creek (Queanbeyan-Palerang Regional - NSW)",0,
"Back Creek (Tenterfield - NSW)",0,
"Back Creek (Tweed - NSW)",0,
"Back Forest",0,
"Backmede",0,
"Backwater",0,
"Badgerys Creek",229,
"Badja",0,
"Baerami",0,
"Baerami Creek",0,
"Bagnoo",0,
"Bago",0,
"Bagotville",0,
"Bakers Creek (Mid-Coast - NSW)",0,
"Bakers Creek (Nambucca - NSW)",0,
"Bakers Creek (Uralla - NSW)",0,
"Bakers Swamp",0,
"Balaclava (NSW)",0,
"Balala",0,
"Balcolyn",0,
"Bald Blair",0,
"Bald Hills (NSW)",0,
"Bald Nob",0,
"Bald Ridge",0,
"Baldersleigh",0,
"Baldry",0,
"Balfours Peak",0,
"Balgowlah",7963,
"Balgowlah Heights",3345,
"Balgownie",0,
"Balickera",0,
"Balladoran",0,
"Ballalaba",0,
"Balldale",0,
"Ballengarra",0,
"Ballimore",0,
"Ballina",0,
"Ballyroe",0,
"Balmain",10447,
"Balmain East",1937,
"Balmoral (Lake Macquarie - NSW)",0,
"Balmoral (Wingecarribee - NSW)",0,
"Balranald",0,
"Bamarang",0,
"Banda Banda",0,
"Bandon Grove",0,
"Bangadang",0,
"Bangalee (NSW)",0,
"Bangalow",0,
"Bangheet",0,
"Bango",0,
"Bangor (NSW)",5567,
"Banksia",3383,
"Banksmeadow",18,
"Bankstown",32116,
"Bankstown Aerodrome",0,
"Bannaby",0,
"Bannister (NSW)",0,
"Banoon",0,
"Banora Point",0,
"Banyabba",0,
"Bar Beach",0,
"Bar Point",66,
"Bara",0,
"Baradine",0,
"Barangaroo",190,
"Barcoongere",0,
"Barden Ridge",4330,
"Bardia",1605,
"Bardwell Park",2235,
"Bardwell Valley",2326,
"Barellan",0,
"Bargo",4393,
"Barham",0,
"Barigan",0,
"Barkers Vale",0,
"Barmedman",0,
"Barneys Reef",0,
"Barnsley",0,
"Barooga",0,
"Barraba",0,
"Barrack Heights",0,
"Barrack Point",0,
"Barraganyatti",0,
"Barragga Bay",0,
"Barratta (NSW)",0,
"Barren Grounds",0,
"Barrengarry",0,
"Barretts Creek",0,
"Barringella",0,
"Barrington (NSW)",0,
"Barrington Tops",0,
"Barry (Blayney - NSW)",0,
"Barry (Upper Hunter Shire - NSW)",0,
"Barwang",0,
"Barwon",0,
"Baryulgil",0,
"Basin View",0,
"Bass Hill",9067,
"Bassendean (NSW)",0,
"Batar Creek",0,
"Bateau Bay",12149,
"Batehaven",0,
"Batemans Bay",0,
"Bathampton",0,
"Bathurst",0,
"Batlow",0,
"Baulkham Hills",37053,
"Baw Baw (NSW)",0,
"Bawley Point",0,
"Baxters Ridge",0,
"Bayview (NSW)",3620,
"Beacon Hill",7456,
"Beaconsfield (NSW)",991,
"Bean Creek",0,
"Bearbong",0,
"Beaumont (NSW)",0,
"Beaumont Hills",9038,
"Beckom",0,
"Bective",0,
"Bectric",0,
"Bedgerabong",0,
"Beechwood",0,
"Beecroft",9395,
"Beecroft Peninsula",0,
"Beelbangera",0,
"Beemunnel",0,
"Bega",0,
"Beggan Beggan",0,
"Belanglo",0,
"Belbora",0,
"Belfield",6317,
"Belford",0,
"Belfrayden",0,
"Belgravia",0,
"Belimbla Park",583,
"Bell (NSW)",47,
"Bella Vista",7834,
"Bellambi",0,
"Bellangry",0,
"Bellata",0,
"Bellawongarah",0,
"Bellbird",0,
"Bellbird Heights",0,
"Bellbrook",0,
"Bellevue Hill",10719,
